latitude,longitude,category
19.3158363,-99.2125961,mall
19.3160217,-99.2126216,mall
19.3159749,-99.2114469,mall
19.322755,-99.1437595,cafe
19.3357363,-99.198932,mall
19.3515511,-99.1625636,restaurant
19.3657774,-99.2929387,restaurant
19.3523862,-99.284839,restaurant
19.3729565,-99.1744025,bar
19.3755178,-99.1845,restaurant
19.3727619,-99.1758814,restaurant
19.3585802,-99.1718296,restaurant
19.357354,-99.1721733,mall
19.3438884,-99.1917443,restaurant
19.3465693,-99.1887591,restaurant
19.3467275,-99.1886336,restaurant
19.3467091,-99.1884994,bar
19.3467641,-99.1884496,bar
19.34717,-99.1888387,restaurant
19.3561612,-99.1397567,cafe
19.380059,-99.1776712,cafe
19.3735397,-99.1675416,cafe
19.3493355,-99.1698949,cafe
19.3495838,-99.1712338,restaurant
19.3496877,-99.1712134,restaurant
19.3488657,-99.1688547,cafe
19.3500045,-99.1641489,cafe
19.3497511,-99.1635244,restaurant
19.3656048,-99.1772294,restaurant
19.335539,-99.1970692,restaurant
19.3354002,-99.1971995,restaurant
19.4260616,-99.1645291,restaurant
19.4257494,-99.1643775,restaurant
19.4254245,-99.164529,restaurant
19.425481,-99.1644013,restaurant
19.3156977,-99.2125697,cafe
19.3391782,-99.1933475,restaurant
19.3386697,-99.1930076,restaurant
19.3965984,-99.0842113,restaurant
19.3965265,-99.0838044,restaurant
19.419868,-99.0951989,restaurant
19.3579591,-99.1843196,restaurant
19.3359347,-99.1328622,restaurant
19.3322765,-99.1831899,cafe
19.4873845,-99.1250996,cafe
19.3559153,-99.1190984,cafe
19.4032812,-99.1691022,restaurant
19.4051544,-99.1692072,restaurant
19.4150576,-99.1780074,restaurant
19.4158382,-99.1771719,restaurant
19.4195823,-99.1669682,restaurant
19.4091274,-99.1781764,restaurant
19.4040197,-99.1694688,restaurant
19.4074106,-99.1684105,restaurant
19.406469,-99.168875,mall
19.4248183,-99.1545159,mall
19.4232039,-99.1599317,restaurant
19.4199735,-99.1606104,cafe
19.4288514,-99.1323338,mall
19.4340227,-99.1384844,mall
19.2841128,-99.2742539,restaurant
19.3356515,-99.1776261,restaurant
19.4123942,-99.1655201,mall
19.395771,-99.1507855,restaurant
19.3844809,-99.1562167,restaurant
19.389969,-99.1520103,cafe
19.3868224,-99.1542357,restaurant
19.3957527,-99.1570745,cafe
19.4112528,-99.1556633,mall
19.418079,-99.1539116,restaurant
19.4174152,-99.1580682,cafe
19.4172758,-99.1580991,restaurant
19.4251966,-99.1762767,restaurant
19.4363259,-99.157564,restaurant
19.5111988,-99.1256458,cafe
19.4253059,-99.1319865,mall
19.419474,-99.1304226,mall
19.4562964,-99.1419378,mall
19.4505177,-99.1403076,mall
19.4454419,-99.1425506,restaurant
19.3474414,-99.163464,restaurant
19.3562948,-99.1685314,restaurant
19.4160315,-99.0978868,restaurant
19.3584441,-99.2983298,cafe
19.3449431,-99.1916174,restaurant
19.2932374,-99.1253429,cafe
19.3963045,-99.0843885,restaurant
19.4547768,-99.1578529,bar
19.3891924,-99.1354343,cafe
19.3346866,-99.1780495,restaurant
19.3794193,-99.1579541,restaurant
19.5042123,-99.2058014,restaurant
19.3934962,-99.0654372,bar
19.3931626,-99.0651177,cafe
19.3964251,-99.0669001,cafe
19.40043,-99.064242,bar
19.437459,-99.0867563,restaurant
19.370767,-99.1856271,restaurant
19.4407351,-99.1422978,cafe
19.4406188,-99.1422978,cafe
19.4312676,-99.0904581,restaurant
19.337003,-99.1836654,cafe
19.3363609,-99.1835747,restaurant
19.3370578,-99.1834288,restaurant
19.3369447,-99.1834966,cafe
19.336814,-99.183615,pub
19.3360627,-99.1810269,cafe
19.3369814,-99.1831902,restaurant
19.3504246,-99.1617503,restaurant
19.3495493,-99.16092,restaurant
19.4714188,-99.1930203,restaurant
19.3370343,-99.2360039,mall
19.3566113,-99.1684555,restaurant
19.3562913,-99.1685637,restaurant
19.3830264,-99.147858,mall
19.3361199,-99.1796291,cafe
19.334905,-99.1779595,restaurant
19.3888254,-99.0408655,restaurant
19.3413656,-99.1713602,cafe
19.292306,-99.1202092,restaurant
19.3364155,-99.1368081,restaurant
19.3736926,-99.1606679,restaurant
19.3997047,-99.1248161,restaurant
19.4720994,-99.1215725,restaurant
19.4719217,-99.1234322,restaurant
19.472049,-99.1237432,restaurant
19.4326846,-99.137356,restaurant
19.4775846,-99.1246886,cafe
19.4733266,-99.1274527,restaurant
19.4672321,-99.1213005,restaurant
19.469517,-99.116152,restaurant
19.4696308,-99.1165811,restaurant
